Latitude (decimal degrees):	30.937
Longitude (decimal degrees):	-6.906
Elevation (m):	1141
Radiation database:	PVGIS-SARAH3


Slope: 32 deg. (optimum)
Azimuth: -4 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20230101:0009,0.0,0.0,9.67,1.31,0.0
20230101:0109,0.0,0.0,9.65,1.17,0.0
20230101:0209,0.0,0.0,8.91,1.24,0.0
20230101:0309,0.0,0.0,8.6,1.24,0.0
20230101:0409,0.0,0.0,9.68,0.9,0.0
20230101:0509,0.0,0.0,9.37,0.83,0.0
20230101:0609,0.0,0.0,8.66,1.03,0.0
20230101:0709,0.0,0.0,5.83,1.59,0.0
20230101:0809,262.06,7.33,4.85,1.72,0.0
20230101:0909,484.69,17.59,6.24,1.38,0.0
20230101:1009,797.36,26.27,9.7,1.31,0.0
20230101:1109,873.22,32.62,10.98,1.52,0.0
20230101:1209,972.93,35.81,11.88,1.31,0.0
20230101:1309,734.55,35.28,12.74,0.83,0.0
20230101:1409,483.64,31.13,13.3,0.34,0.0
20230101:1509,476.93,24.04,13.72,0.07,0.0
20230101:1609,312.85,14.86,13.77,0.07,0.0
20230101:1709,80.11,4.26,13.38,0.21,0.0
20230101:1809,0.0,0.0,12.51,0.76,0.0
20230101:1909,0.0,0.0,11.81,0.28,0.0
20230101:2009,0.0,0.0,11.37,0.21,0.0
20230101:2109,0.0,0.0,10.84,0.41,0.0
20230101:2209,0.0,0.0,10.17,0.62,0.0
20230101:2309,0.0,0.0,9.45,0.69,0.0
20230102:0009,0.0,0.0,8.72,0.69,0.0
20230102:0109,0.0,0.0,8.06,1.03,0.0
20230102:0209,0.0,0.0,5.33,1.45,0.0
20230102:0309,0.0,0.0,3.82,1.72,0.0
20230102:0409,0.0,0.0,2.85,1.72,0.0
20230102:0509,0.0,0.0,2.44,1.52,0.0
20230102:0609,0.0,0.0,2.21,1.31,0.0
20230102:0709,0.0,0.0,3.19,0.97,0.0
20230102:0809,281.37,7.3,3.03,0.97,0.0
20230102:0909,578.12,17.58,5.73,0.48,0.0
20230102:1009,798.29,26.28,8.73,0.28,0.0
20230102:1109,940.75,32.66,11.09,0.34,0.0
20230102:1209,1003.44,35.88,12.87,0.41,0.0
20230102:1309,968.6,35.38,14.17,0.69,0.0
20230102:1409,867.66,31.25,15.06,1.03,0.0
20230102:1509,686.3,24.17,15.52,1.38,0.0
20230102:1609,464.05,14.99,15.56,1.86,0.0
20230102:1709,167.38,4.4,15.07,1.86,0.0
20230102:1809,0.0,0.0,13.86,0.9,0.0
20230102:1909,0.0,0.0,13.89,0.0,0.0
20230102:2009,0.0,0.0,13.39,0.34,0.0
20230102:2109,0.0,0.0,12.69,0.41,0.0
20230102:2209,0.0,0.0,11.76,0.34,0.0
