timestamp,irradiance_poa_w_m2,ambient_temperature_c,wind_10m_ms,wind_module_ms,module_temperature_c,reconstructed_flag,voc_module_2t_v,voc_module_4t_eq_v,pmax_module_2t_w,pmax_module_4t_eq_w,energy_2t_wh,energy_4t_eq_wh
2023-01-01T00:09,0.00,9.67,1.310,1.046,9.670,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T01:09,0.00,9.65,1.170,0.934,9.650,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T02:09,0.00,8.91,1.240,0.990,8.910,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T03:09,0.00,8.60,1.240,0.990,8.600,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T04:09,0.00,9.68,0.900,0.718,9.680,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T05:09,0.00,9.37,0.830,0.663,9.370,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T06:09,0.00,8.66,1.030,0.822,8.660,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T07:09,0.00,5.83,1.590,1.269,5.830,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T08:09,262.06,4.85,1.720,1.373,12.470,0,118.959,118.959,41.842,109.846,41.842,109.846
2023-01-01T09:09,484.69,6.24,1.380,1.102,21.138,0,120.892,120.892,75.947,200.136,75.947,200.136
2023-01-01T10:09,797.36,9.70,1.310,1.046,34.499,0,121.036,121.036,121.285,321.566,121.285,321.566
2023-01-01T11:09,873.22,10.98,1.520,1.213,37.203,0,121.031,121.031,132.013,350.458,132.013,350.458
2023-01-01T12:09,972.93,11.88,1.310,1.046,42.140,0,120.612,120.612,145.440,387.015,145.440,387.015
2023-01-01T13:09,734.55,12.74,0.830,0.663,37.613,0,119.632,119.632,110.946,294.587,110.946,294.587
2023-01-01T14:09,483.64,13.30,0.340,0.271,31.308,0,118.176,118.176,74.095,196.158,74.095,196.158
2023-01-01T15:09,476.93,13.72,0.070,0.056,32.510,0,117.754,117.754,72.870,193.024,72.870,193.024
2023-01-01T16:09,312.85,13.77,0.070,0.056,26.096,0,116.418,116.418,48.489,128.063,48.489,128.063
2023-01-01T17:09,80.11,13.38,0.210,0.168,16.444,0,109.571,109.571,12.681,33.350,12.681,33.350
2023-01-01T18:09,0.00,12.51,0.760,0.607,12.510,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T19:09,0.00,11.81,0.280,0.224,11.810,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T20:09,0.00,11.37,0.210,0.168,11.370,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T21:09,0.00,10.84,0.410,0.327,10.840,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T22:09,0.00,10.17,0.620,0.495,10.170,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-01T23:09,0.00,9.45,0.690,0.551,9.450,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T00:09,0.00,8.72,0.690,0.551,8.720,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T01:09,0.00,8.06,1.030,0.822,8.060,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T02:09,0.00,5.33,1.450,1.157,5.330,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T03:09,0.00,3.82,1.720,1.373,3.820,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T04:09,0.00,2.85,1.720,1.373,2.850,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T05:09,0.00,2.44,1.520,1.213,2.440,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T06:09,0.00,2.21,1.310,1.046,2.210,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T07:09,0.00,3.19,0.970,0.774,3.190,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T08:09,281.37,3.03,0.970,0.774,12.317,0,119.491,119.491,44.939,117.970,44.939,117.970
2023-01-02T09:09,578.12,5.73,0.480,0.383,26.661,0,120.700,120.700,89.491,236.414,89.491,236.414
2023-01-02T10:09,798.29,8.73,0.280,0.224,38.821,0,119.950,119.950,120.242,319.455,120.242,319.455
2023-01-02T11:09,940.75,11.09,0.340,0.271,46.119,0,119.364,119.364,139.346,371.517,139.346,371.517
2023-01-02T12:09,1003.44,12.87,0.410,0.327,49.709,0,118.970,118.970,147.396,393.679,147.396,393.679
2023-01-02T13:09,968.60,14.17,0.690,0.551,47.840,0,119.160,119.160,142.899,381.314,142.899,381.314
2023-01-02T14:09,867.66,15.06,1.030,0.822,43.393,0,119.427,119.427,129.331,344.357,129.331,344.357
2023-01-02T15:09,686.30,15.52,1.380,1.102,36.614,0,119.380,119.380,103.894,275.731,103.894,275.731
2023-01-02T16:09,464.05,15.56,1.860,1.485,28.760,0,118.552,118.552,71.499,189.065,71.499,189.065
2023-01-02T17:09,167.38,15.07,1.860,1.485,19.831,0,113.729,113.729,26.302,69.271,26.302,69.271
2023-01-02T18:09,0.00,13.86,0.900,0.718,13.860,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T19:09,0.00,13.89,0.000,0.000,13.890,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T20:09,0.00,13.39,0.340,0.271,13.390,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T21:09,0.00,12.69,0.410,0.327,12.690,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T22:09,0.00,11.76,0.340,0.271,11.760,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-02T23:09,0.00,10.72,0.340,0.271,10.720,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T00:09,0.00,9.78,0.410,0.327,9.780,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T01:09,0.00,8.88,0.410,0.327,8.880,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T02:09,0.00,7.97,0.410,0.327,7.970,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T03:09,0.00,7.08,0.550,0.439,7.080,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T04:09,0.00,6.21,0.830,0.663,6.210,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T05:09,0.00,5.35,1.100,0.878,5.350,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T06:09,0.00,3.72,1.240,0.990,3.720,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T07:09,0.00,5.21,1.170,0.934,5.210,0,0.000,0.000,0.000,0.000,0.000,0.000
2023-01-03T08:09,275.79,5.17,1.100,0.878,14.065,0,118.866,118.866,43.883,115.284,43.883,115.284
2023-01-03T09:09,560.98,7.00,0.760,0.607,26.245,0,120.591,120.591,86.918,229.573,86.918,229.573
2023-01-03T10:09,779.47,9.20,0.480,0.383,37.420,0,120.126,120.126,117.782,312.711,117.782,312.711
2023-01-03T11:09,922.46,11.30,0.620,0.495,43.798,0,119.793,119.793,137.371,365.837,137.371,365.837
2023-01-03T12:09,985.38,12.86,0.760,0.607,46.664,0,119.585,119.585,145.772,388.755,145.772,388.755
2023-01-03T13:09,965.34,14.11,0.830,0.663,46.798,0,119.393,119.393,142.763,380.756,142.763,380.756
2023-01-03T14:09,870.87,14.99,1.030,0.822,43.428,0,119.446,119.446,129.799,345.609,129.799,345.609
2023-01-03T15:09,700.86,15.43,1.380,1.102,36.972,0,119.445,119.445,106.012,281.400,106.012,281.400
2023-01-03T16:09,463.57,15.47,1.590,1.269,29.233,0,118.418,118.418,71.350,188.711,71.350,188.711
2023-01-03T17:09,158.47,14.99,1.590,1.269,19.695,0,113.383,113.383,24.909,65.600,24.909,65.600
