temperature_k,temperature_c,jtop_jsc,jbottom_jsc,j_gap_top_minus_bottom,j_ratio_top_over_bottom
300.000000,26.850000,20.542976,5.403011,15.139966,3.802135
305.000000,31.850000,20.544044,5.400185,15.143858,3.804322
310.000000,36.850000,20.545052,5.397310,15.147742,3.806535
315.000000,41.850000,20.546339,5.394384,15.151955,3.808839
320.000000,46.850000,20.547127,5.391405,15.155722,3.811090
325.000000,51.850000,20.547990,5.388372,15.159618,3.813395
330.000000,56.850000,20.548599,5.385284,15.163315,3.815695
335.000000,61.850000,20.549112,5.382140,15.166972,3.818019
340.000000,66.850000,20.549524,5.378939,15.170585,3.820367
345.000000,71.850000,20.549992,5.375682,15.174310,3.822769
350.000000,76.850000,20.550701,5.372368,15.178333,3.825259
