architecture,architecture_label,metric_label,unit,baseline_temperature_k,baseline_temperature_c,baseline_value,target_temperature_k,target_temperature_c,target_value,temp_coeff_percent_per_k,delta_drift,delta_drift_percent,trend
PVSK_top,PVSK Top Cell,Voc,V,300.000000,26.850000,1.285401,338.150000,65.000000,1.233571,-0.106841,,,
PVSK_top,PVSK Top Cell,Jsc,mA/cm2,300.000000,26.850000,20.542976,338.150000,65.000000,20.549371,0.000733,,,
PVSK_top,PVSK Top Cell,FF,%,300.000000,26.850000,81.788355,338.150000,65.000000,80.704989,-0.034152,,,
PVSK_top,PVSK Top Cell,PCE,%,300.000000,26.850000,21.597003,338.150000,65.000000,20.458048,-0.138465,,,
Tandem_2T,2T Tandem,Voc,V,300.000000,26.850000,2.076888,338.150000,65.000000,1.920009,-0.199042,,,
Tandem_2T,2T Tandem,Jsc,mA/cm2,300.000000,26.850000,5.571373,338.150000,65.000000,5.563214,-0.003912,,,
Tandem_2T,2T Tandem,FF,%,300.000000,26.850000,81.043755,338.150000,65.000000,80.440632,-0.021208,,,
Tandem_2T,2T Tandem,PCE,%,300.000000,26.850000,9.377666,338.150000,65.000000,8.592232,-0.221689,,,
Tandem_2T,2T Tandem,Mismatch Ratio (Jtop/Jbottom),ratio,300.000000,26.850000,3.802135,338.150000,65.000000,3.819499,,0.017364,0.456678,widens
Tandem_4T,4T Tandem (equivalent),Voc,V,300.000000,26.850000,2.076888,338.150000,65.000000,1.920009,-0.199042,,,
Tandem_4T,4T Tandem (equivalent),Jsc,mA/cm2,300.000000,26.850000,25.945987,338.150000,65.000000,25.929495,-0.001781,,,
Tandem_4T,4T Tandem (equivalent),FF,%,300.000000,26.850000,45.977341,338.150000,65.000000,46.426359,0.027021,,,
Tandem_4T,4T Tandem (equivalent),PCE,%,300.000000,26.850000,24.775762,338.150000,65.000000,23.113215,-0.176259,,,
Tandem_4T,4T Tandem (equivalent),Mismatch Ratio (Jtop/Jbottom),ratio,300.000000,26.850000,3.802135,338.150000,65.000000,3.819499,,0.017364,0.456678,widens
