cell,temperature_k,temperature_c,voc,jsc,ff,eta,vmpp,jmpp,pmax,j_total_rec_macm2_at_voc,j_total_gen_macm2_at_voc,jbulk_macm2_at_voc,j_srh_macm2_at_voc,jminor_left_macm2_at_voc,jminor_right_macm2_at_voc,bulk_fraction_at_voc,nonbulk_fraction_at_voc,left_minor_fraction_at_voc,right_minor_fraction_at_voc,j_total_rec_macm2_at_0v,j_total_gen_macm2_at_0v,collection_loss_fraction_at_0v
PVSK_top,300.000000,26.850000,1.285401,20.542976,81.788355,21.597003,1.110000,19.456760,21.597003,24.520809,24.533610,24.347324,24.347324,0.053220,0.120265,0.992925,0.007075,0.002170,0.004905,3.977421,24.533610,0.162121
PVSK_top,305.000000,31.850000,1.278945,20.544044,81.613578,21.443716,1.100000,19.494288,21.443716,24.520789,24.533610,24.346476,24.346476,0.053668,0.120645,0.992891,0.007109,0.002189,0.004920,3.976393,24.533610,0.162079
PVSK_top,310.000000,36.850000,1.272237,20.545052,81.460211,21.292218,1.100000,19.356562,21.292218,24.520585,24.533610,24.345412,24.345412,0.054113,0.121060,0.992856,0.007144,0.002207,0.004937,3.975442,24.533610,0.162041
PVSK_top,315.000000,41.850000,1.265457,20.546339,81.334071,21.147271,1.090000,19.401166,21.147271,24.521056,24.533610,24.344990,24.344990,0.054555,0.121511,0.992820,0.007180,0.002225,0.004955,3.974571,24.533610,0.162005
PVSK_top,320.000000,46.850000,1.258735,20.547127,81.195336,20.999867,1.080000,19.444321,20.999867,24.521075,24.533610,24.344080,24.344080,0.054994,0.122001,0.992782,0.007218,0.002243,0.004975,3.973783,24.533610,0.161973
PVSK_top,325.000000,51.850000,1.251838,20.547990,81.056994,20.850095,1.070000,19.486070,20.850095,24.521246,24.533610,24.343286,24.343286,0.055430,0.122530,0.992743,0.007257,0.002260,0.004997,3.973083,24.533610,0.161945
PVSK_top,330.000000,56.850000,1.244859,20.548599,80.914328,20.697966,1.070000,19.343894,20.697966,24.521256,24.533610,24.342292,24.342292,0.055863,0.123101,0.992702,0.007298,0.002278,0.005020,3.972474,24.533610,0.161920
PVSK_top,335.000000,61.850000,1.237951,20.549112,80.790739,20.552193,1.060000,19.388861,20.552193,24.521265,24.533610,24.341257,24.341257,0.056293,0.123715,0.992659,0.007341,0.002296,0.005045,3.971961,24.533610,0.161899
PVSK_top,340.000000,66.850000,1.230999,20.549524,80.654627,20.402756,1.050000,19.431197,20.402756,24.521271,24.533610,24.340176,24.340176,0.056722,0.124373,0.992615,0.007385,0.002313,0.005072,3.971549,24.533610,0.161882
PVSK_top,345.000000,71.850000,1.223900,20.549992,80.512240,20.249749,1.040000,19.470913,20.249749,24.521386,24.533610,24.339163,24.339163,0.057148,0.125076,0.992569,0.007431,0.002331,0.005101,3.971242,24.533610,0.161869
PVSK_top,350.000000,76.850000,1.216889,20.550701,80.353713,20.094798,1.040000,19.321921,20.094798,24.521940,24.533610,24.338543,24.338543,0.057571,0.125825,0.992521,0.007479,0.002348,0.005131,3.971045,24.533610,0.161861
CdTe_filtered,300.000000,26.850000,0.791486,5.403011,74.332420,3.178759,0.670000,4.744416,3.178759,5.677248,5.677273,5.323250,5.323250,0.335263,0.018736,0.937646,0.062354,0.059054,0.003300,0.274238,5.677273,0.048304
CdTe_filtered,305.000000,31.850000,0.777792,5.400185,74.061813,3.110761,0.660000,4.713274,3.110761,5.677249,5.677273,5.316625,5.316625,0.341890,0.018734,0.936479,0.063521,0.060221,0.003300,0.277063,5.677273,0.048802
CdTe_filtered,310.000000,36.850000,0.764005,5.397310,73.778878,3.042323,0.640000,4.753630,3.042323,5.677249,5.677273,5.309732,5.309732,0.348784,0.018733,0.935265,0.064735,0.061435,0.003300,0.279938,5.677273,0.049308
CdTe_filtered,315.000000,41.850000,0.750518,5.394384,73.475277,2.974708,0.630000,4.721759,2.974708,5.677248,5.677273,5.303596,5.303596,0.354920,0.018731,0.934184,0.065816,0.062516,0.003299,0.282864,5.677273,0.049824
CdTe_filtered,320.000000,46.850000,0.736562,5.391405,73.159085,2.905225,0.620000,4.685847,2.905225,5.677249,5.677273,5.296539,5.296539,0.361980,0.018730,0.932941,0.067059,0.063760,0.003299,0.285843,5.677273,0.050349
CdTe_filtered,325.000000,51.850000,0.722793,5.388372,72.845418,2.837094,0.600000,4.728491,2.837094,5.677249,5.677273,5.289850,5.289850,0.368671,0.018729,0.931763,0.068237,0.064938,0.003299,0.288876,5.677273,0.050883
