cell,metric,unit,baseline_temperature_k,baseline_temperature_c,baseline_value,target_temperature_k,target_temperature_c,target_value,linear_slope_per_k,normalized_coeff_percent_per_k
CdTe_filtered,voc,V,300.000000,26.850000,0.791486,338.150000,65.000000,0.686437,-0.002761,-0.348780
CdTe_filtered,jsc,mA/cm2,300.000000,26.850000,5.403011,338.150000,65.000000,5.380123,-0.000613,-0.011339
CdTe_filtered,ff,%,300.000000,26.850000,74.332420,338.150000,65.000000,71.893081,-0.067569,-0.090901
CdTe_filtered,eta,%,300.000000,26.850000,3.178759,338.150000,65.000000,2.655167,-0.013765,-0.433043
CdTe_filtered,pmax,mW/cm2,300.000000,26.850000,3.178759,338.150000,65.000000,2.655167,-0.013765,-0.433043
PVSK_top,voc,V,300.000000,26.850000,1.285401,338.150000,65.000000,1.233571,-0.001373,-0.106841
PVSK_top,jsc,mA/cm2,300.000000,26.850000,20.542976,338.150000,65.000000,20.549371,0.000151,0.000733
PVSK_top,ff,%,300.000000,26.850000,81.788355,338.150000,65.000000,80.704989,-0.027933,-0.034152
PVSK_top,eta,%,300.000000,26.850000,21.597003,338.150000,65.000000,20.458048,-0.029904,-0.138465
PVSK_top,pmax,mW/cm2,300.000000,26.850000,21.597003,338.150000,65.000000,20.458048,-0.029904,-0.138465
Tandem_2T,voc,V,300.000000,26.850000,2.076888,338.150000,65.000000,1.920009,-0.004134,-0.199042
Tandem_2T,jsc,mA/cm2,300.000000,26.850000,5.571373,338.150000,65.000000,5.563214,-0.000218,-0.003912
Tandem_2T,ff,%,300.000000,26.850000,81.043755,338.150000,65.000000,80.440632,-0.017188,-0.021208
Tandem_2T,eta,%,300.000000,26.850000,9.377666,338.150000,65.000000,8.592232,-0.020789,-0.221689
Tandem_2T,pmax,mW/cm2,300.000000,26.850000,9.377666,338.150000,65.000000,8.592232,-0.020789,-0.221689
Tandem_4T,voc,V,300.000000,26.850000,2.076888,338.150000,65.000000,1.920009,-0.004134,-0.199042
Tandem_4T,jsc,mA/cm2,300.000000,26.850000,25.945987,338.150000,65.000000,25.929495,-0.000462,-0.001781
Tandem_4T,ff,%,300.000000,26.850000,45.977341,338.150000,65.000000,46.426359,0.012424,0.027021
Tandem_4T,eta,%,300.000000,26.850000,24.775762,338.150000,65.000000,23.113215,-0.043670,-0.176259
Tandem_4T,pmax,mW/cm2,300.000000,26.850000,24.775762,338.150000,65.000000,23.113215,-0.043670,-0.176259
