Voltage_V,CurrentDensity_mAcm2
-0.73423023,-5.59408809
-0.62832333,-5.59183472
-0.53250879,-5.58958134
-0.44544255,-5.58732797
-0.36597093,-5.58507459
-0.29310742,-5.58282122
-0.22605127,-5.58056785
-0.16408568,-5.57831447
-0.10664707,-5.57606110
-0.05318915,-5.57380772
-0.00329164,-5.57155435
0.04342175,-5.56930098
0.08730390,-5.56704760
0.12862160,-5.56479423
0.16764519,-5.56254085
0.20458409,-5.56028748
0.23962657,-5.55803411
0.27296468,-5.55578073
0.30474664,-5.55352736
0.33509567,-5.55127398
0.36412897,-5.54902061
0.39196207,-5.54676723
0.41869985,-5.54451386
0.44441967,-5.54226049
0.46918572,-5.54000711
0.49308657,-5.53775374
0.51618927,-5.53550036
0.53851101,-5.53324699
0.56013712,-5.53099362
0.58110864,-5.52874024
0.60146520,-5.52648687
0.62124395,-5.52423349
0.64047925,-5.52198012
0.65920489,-5.51972675
0.67745200,-5.51747337
0.69523763,-5.51522000
0.71257741,-5.51296662
0.72951824,-5.51071325
0.74608439,-5.50845988
0.76224785,-5.50620650
0.77807975,-5.50395313
0.79356563,-5.50169975
0.80873062,-5.49944638
0.82358692,-5.49719301
0.83814877,-5.49493963
0.85241854,-5.49268626
0.86643456,-5.49043288
0.88015823,-5.48817951
0.89364667,-5.48592614
0.90689621,-5.48367276
0.91988923,-5.48141939
0.93266628,-5.47916601
0.94523207,-5.47691264
0.95757316,-5.47465927
0.96970119,-5.47240589
0.98163457,-5.47015252
0.99337801,-5.46789914
1.00493568,-5.46564577
1.01631214,-5.46339240
1.02749453,-5.46113902
1.03850593,-5.45888565
1.04935005,-5.45663227
1.06003092,-5.45437890
1.07055209,-5.45212552
1.08091722,-5.44987215
1.09112984,-5.44761878
1.10119364,-5.44536540
1.11111210,-5.44311203
1.12088860,-5.44085865
1.13052671,-5.43860528
1.14002987,-5.43635191
1.14941717,-5.43409853
1.15869674,-5.43184516
1.16781498,-5.42959178
1.17681126,-5.42733841
1.18567679,-5.42508504
1.19441910,-5.42283166
1.20304697,-5.42057829
1.21156347,-5.41832491
1.21997176,-5.41607154
1.22827502,-5.41381817
1.23647573,-5.41156479
1.24454745,-5.40931142
1.25252150,-5.40705804
1.26040359,-5.40480467
1.26819480,-5.40255130
1.27587924,-5.40029792
1.28345302,-5.39804455
1.29094285,-5.39579117
1.29835142,-5.39353780
1.30566608,-5.39128443
1.31287373,-5.38903105
1.32000721,-5.38677768
1.32706962,-5.38452430
1.33401881,-5.38227093
1.34089336,-5.38001756
1.34770404,-5.37776418
1.35441427,-5.37551081
1.36104617,-5.37325743
1.36762145,-5.37100406
1.37409660,-5.36875068
1.38050223,-5.36649731
1.38685849,-5.36424394
1.39310214,-5.36199056
1.39929778,-5.35973719
1.40542695,-5.35748381
1.41146692,-5.35523044
1.41746893,-5.35297707
1.42337171,-5.35072369
1.42922704,-5.34847032
1.43501782,-5.34621694
1.44073154,-5.34396357
1.44641128,-5.34171020
1.45198842,-5.33945682
1.45754348,-5.33720345
1.46300365,-5.33495007
1.46843155,-5.33269670
1.47378324,-5.33044333
1.47908913,-5.32818995
1.48433325,-5.32593658
1.48952230,-5.32368320
1.49465956,-5.32142983
1.49973698,-5.31917646
1.50476836,-5.31692308
1.50973935,-5.31466971
1.51466552,-5.31241633
1.51953532,-5.31016296
1.52435714,-5.30790959
1.52913106,-5.30565621
1.53384926,-5.30340284
1.53853265,-5.30114946
1.54314808,-5.29889609
1.54774641,-5.29664272
1.55225990,-5.29438934
1.55677339,-5.29213597
1.56119103,-5.28988259
1.56560338,-5.28762922
1.56994785,-5.28537584
1.57425988,-5.28312247
1.57853681,-5.28086910
1.58274926,-5.27861572
1.58696171,-5.27636235
1.59107802,-5.27410897
1.59519170,-5.27185560
1.59925270,-5.26960223
1.60326826,-5.26734885
1.60727984,-5.26509548
1.61119797,-5.26284210
1.61511609,-5.26058873
1.61898753,-5.25833536
1.62280890,-5.25608198
1.62663027,-5.25382861
1.63036901,-5.25157523
1.63409422,-5.24932186
1.63780334,-5.24706849
1.64143293,-5.24481511
1.64506251,-5.24256174
1.64865346,-5.24030836
1.65218792,-5.23805499
1.65572238,-5.23580162
1.65920290,-5.23354824
1.66264264,-5.23129487
1.66608238,-5.22904149
1.66946022,-5.22678812
1.67280538,-5.22453475
1.67615053,-5.22228137
1.67943365,-5.22002800
1.68268434,-5.21777462
1.68593503,-5.21552125
1.68913162,-5.21326788
1.69228768,-5.21101450
1.69544373,-5.20876113
1.69856232,-5.20650775
1.70162325,-5.20425438
1.70468418,-5.20200101
1.70773390,-5.19974763
1.71069897,-5.19749426
1.71366404,-5.19524088
1.71662911,-5.19298751
1.71952297,-5.19073413
1.72239100,-5.18848076
1.72525904,-5.18622739
